Layer,Zoning,Brand_Slug,Total_Products,Sport_Pct,Apparel_Pct,Acc_Pct,Category_Count,Top_Count,Outer_Count,Bottom_Count,Dress_Count,Bag_Count,Shoes_Count,Categories,Selected(Y/N),Notes
Layer 1,여성 캐주얼,rosefrantz,32,0,656.3,0,4,55,88,1,66,0,0,"바지, 상의, 아우터, 원피스/스커트",y,
Layer 1,여성 캐주얼,noiago,31,0,303.2,893.5,4,0,88,0,6,245,0,"가방, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,supersub,31,0,1103.2,0,3,53,282,7,0,0,0,"바지, 상의, 아우터",y,
Layer 1,캐주얼/스트리트,mimthewardrobe,30,0,440,650,4,121,2,9,0,195,0,"가방, 바지, 상의, 아우터",n,
Layer 1,여성 캐주얼,unknownplanet,29,0,906.9,17.2,5,29,4,194,36,5,0,"가방, 바지, 상의, 아우터, 원피스/스커트",n,
Layer 1,캐주얼/스트리트,divein,28,0,539.3,7.1,4,60,76,15,0,2,0,"가방, 바지, 상의, 아우터",y,
Layer 1,기타,nonblank,28,0,607.1,50,2,0,170,0,0,14,0,"가방, 아우터",y,
Layer 1,여성 캐주얼,proudmary,28,0,267.9,0,3,0,14,55,6,0,0,"바지, 아우터, 원피스/스커트",n,
Layer 1,캐주얼/스트리트,waikei,28,0,239.3,182.1,5,10,25,32,0,13,0,"가방, 바지, 상의, 아우터, 패션소품",n,
Layer 1,캐주얼/스트리트,ourdayz,28,0,1289.3,225,3,0,50,311,0,63,0,"가방, 바지, 아우터",y,
Layer 1,여성 캐주얼,bittercells,27,0,570.4,7.4,4,60,86,0,8,2,0,"가방, 상의, 아우터, 원피스/스커트",y,
Layer 1,여성 캐주얼,lowclassic,27,37,166.7,96.3,6,0,31,0,14,18,6,"가방, 스포츠/레저, 신발, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,ironypornowhiteline,27,0,588.9,0,3,23,104,32,0,0,0,"바지, 상의, 아우터",n,
Layer 1,캐주얼/스트리트,likethemost,27,0,1177.8,0,3,131,98,89,0,0,0,"바지, 상의, 아우터",n,
Layer 1,캐주얼/스트리트,standarderror,27,0,2474.1,0,3,149,388,131,0,0,0,"바지, 상의, 아우터",n,
Layer 1,여성 캐주얼,gilaarchive,26,0,373.1,192.3,5,34,3,56,4,0,0,"바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,여성 캐주얼,zerostreet,26,7.7,476.9,0,5,17,22,17,68,0,0,"바지, 상의, 스포츠/레저, 아우터, 원피스/스커트",n,
Layer 1,여성 캐주얼,crank,26,0,561.5,253.8,6,9,22,3,112,20,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,여성 캐주얼,sincethen,26,0,492.3,0,1,0,0,0,128,0,0,원피스/스커트,n,
Layer 1,여성 캐주얼,moimoii,26,0,380.8,11.5,3,0,87,0,12,0,0,"아우터, 원피스/스커트, 패션소품",n,
Layer 1,캐주얼/스트리트,unionstudio,26,0,950,0,3,108,12,127,0,0,0,"바지, 상의, 아우터",n,
Layer 1,캐주얼/스트리트,branded,26,0,342.3,0,3,14,39,36,0,0,0,"바지, 상의, 아우터",n,
Layer 1,여성 캐주얼,dundrop,26,0,253.8,0,4,4,15,45,2,0,0,"바지, 상의, 아우터, 원피스/스커트",y,
Layer 1,여성 캐주얼,sunburnproject,26,0,403.8,384.6,4,0,30,1,74,100,0,"가방, 바지, 아우터, 원피스/스커트",y,
Layer 1,캐주얼/스트리트,xero,26,0,1250,76.9,4,8,101,216,0,0,0,"바지, 상의, 아우터, 패션소품",n,
Layer 1,기타,wholovesart,26,0,1111.5,0,2,0,31,258,0,0,0,"바지, 아우터",y,
Layer 1,캐주얼/스트리트,coiris,25,0,512,224,4,63,56,9,0,56,0,"가방, 바지, 상의, 아우터",y,여성복
Layer 1,캐주얼/스트리트,stco,25,0,556,16,3,3,136,0,0,4,0,"가방, 상의, 아우터",n,
Layer 1,캐주얼/스트리트,yeseyesee,25,4,568,76,5,2,140,0,0,6,0,"가방, 상의, 스포츠/레저, 아우터, 패션소품",y,
Layer 1,여성 캐주얼,heleneparis,25,0,596,176,7,8,21,96,24,15,13,"가방, 바지, 상의, 신발, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,여성 캐주얼,oheshio,25,0,352,112,4,0,36,0,52,16,0,"가방, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,여성 캐주얼,roem,25,0,456,0,3,2,18,0,94,0,0,"상의, 아우터, 원피스/스커트",n,
Layer 1,기타,insilence,25,0,516,0,1,0,129,0,0,0,0,아우터,y,
Layer 1,여성 캐주얼,tommyjeans,25,0,248,356,3,0,6,0,56,0,0,"아우터, 원피스/스커트, 패션소품",n,
Layer 1,여성 캐주얼,chasecult,25,0,420,4,5,2,66,11,26,0,0,"바지, 상의, 아우터, 원피스/스커트, 패션소품",n,
Layer 1,캐주얼/스트리트,fabregat,25,0,604,116,4,79,55,17,0,29,0,"가방, 바지, 상의, 아우터",y,
Layer 1,캐주얼/스트리트,slowacid,24,0,333.3,275,5,59,17,4,0,49,0,"가방, 바지, 상의, 아우터, 패션소품",y,
Layer 1,캐주얼/스트리트,discusathletic,24,0,925,87.5,5,187,34,1,0,1,0,"가방, 바지, 상의, 아우터, 패션소품",y,
Layer 1,여성 캐주얼,zeroplanet,23,0,613,187,5,40,11,10,80,0,0,"바지, 상의, 아우터, 원피스/스커트, 패션소품",n,
Layer 1,캐주얼/스트리트,idontwannasell,23,0,491.3,995.7,4,0,71,42,0,69,0,"가방, 바지, 아우터, 패션소품",y,
Layer 1,캐주얼/스트리트,goodlifeworks,23,0,1278.3,0,3,21,99,174,0,0,0,"바지, 상의, 아우터",n,
Layer 1,캐주얼/스트리트,fluke,23,0,1095.7,8.7,3,6,246,0,0,0,0,"상의, 아우터, 패션소품",y,
Layer 1,여성 캐주얼,prendafromplant,22,0,622.7,168.2,5,30,98,7,2,37,0,"가방, 바지, 상의, 아우터, 원피스/스커트",n,
Layer 1,여성 캐주얼,youhee,22,0,240.9,18.2,5,11,11,7,24,0,0,"바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,saintcrew,22,0,309.1,359.1,4,0,3,65,0,45,0,"가방, 바지, 아우터, 패션소품",n,
Layer 1,여성 캐주얼,comoninoz,22,0,195.5,204.5,5,0,9,4,30,1,0,"가방, 바지, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,9999archive,22,0,581.8,654.5,4,0,80,48,0,1,0,"가방, 바지, 아우터, 패션소품",y,
Layer 1,여성 캐주얼,thegreenlab,22,0,900,68.2,5,6,164,0,28,4,0,"가방, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,여성 캐주얼,rockcake,22,0,686.4,18.2,5,90,33,12,16,4,0,"가방, 바지, 상의, 아우터, 원피스/스커트",y,
Layer 1,캐주얼/스트리트,knitted,22,0,1063.6,0,3,80,121,33,0,0,0,"바지, 상의, 아우터",n,
Layer 1,캐주얼/스트리트,corrs,22,0,1313.6,0,3,43,243,3,0,0,0,"바지, 상의, 아우터",n,
Layer 1,여성 캐주얼,highschooldisco,22,0,304.5,372.7,5,5,26,0,36,25,0,"가방, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,nicknicole,21,0,681,352.4,4,10,133,0,0,73,0,"가방, 상의, 아우터, 패션소품",y,여성복
Layer 1,여성 캐주얼,pigment,21,0,261.9,0,4,4,18,5,28,0,0,"바지, 상의, 아우터, 원피스/스커트",n,
Layer 1,여성 캐주얼,gcut,21,0,509.5,0,3,0,6,83,18,0,0,"바지, 아우터, 원피스/스커트",y,
Layer 1,캐주얼/스트리트,oy,21,0,557.1,290.5,4,0,89,28,0,17,0,"가방, 바지, 아우터, 패션소품",y,
Layer 1,여성 캐주얼,roughneck,21,0,676.2,0,4,1,49,6,86,0,0,"바지, 상의, 아우터, 원피스/스커트",y,
Layer 1,여성 캐주얼,cornell,20,0,520,270,4,0,22,0,82,5,0,"가방, 아우터, 원피스/스커트, 패션소품",n,
Layer 1,여성 캐주얼,selfesteem,20,0,870,15,4,50,0,118,6,0,0,"바지, 상의, 원피스/스커트, 패션소품",n,
Layer 1,여성 캐주얼,painorpleasure,20,0,310,120,3,4,0,0,58,0,0,"상의, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,anolorcode,20,0,1430,0,3,1,8,277,0,0,0,"바지, 상의, 아우터",y,
Layer 1,여성 캐주얼,luvistrue,20,0,535,205,6,2,44,15,46,3,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,여성 캐주얼,nocontent,20,0,295,10,5,2,6,7,44,2,0,"가방, 바지, 상의, 아우터, 원피스/스커트",y,
Layer 1,캐주얼/스트리트,bhpoloclub,20,20,380,45,4,32,44,0,0,0,0,"상의, 스포츠/레저, 아우터, 패션소품",n,
Layer 1,여성 캐주얼,koleat,20,0,220,245,4,0,4,2,38,0,0,"바지, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,cargobrosforwomen,20,0,365,85,3,0,43,30,0,0,0,"바지, 아우터, 패션소품",n,
Layer 1,여성 캐주얼,setupexe,20,0,210,610,5,18,18,0,6,69,0,"가방, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,기타,afterpray12,20,0,405,85,2,0,81,0,0,0,0,"아우터, 패션소품",y,
Layer 1,기타,blackmoment,20,0,1380,0,2,0,263,13,0,0,0,"바지, 아우터",y,
Layer 1,기타,suarewomen,20,0,775,0,2,66,89,0,0,0,0,"상의, 아우터",y,여성복
Layer 1,기타,bensimon,19,0,42.1,189.5,6,0,2,2,4,9,12,"가방, 바지, 신발, 아우터, 원피스/스커트, 패션소품",y,여성복
Layer 1,캐주얼/스트리트,tommyhilfiger,19,0,168.4,168.4,3,0,32,0,0,2,0,"가방, 아우터, 패션소품",n,
Layer 1,여성 캐주얼,wooalong,19,0,305.3,652.6,5,26,22,8,2,0,0,"바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,havism,19,0,568.4,10.5,4,83,9,16,0,2,0,"가방, 바지, 상의, 아우터",n,
Layer 1,캐주얼/스트리트,minav,19,0,378.9,700,3,64,8,0,0,133,0,"가방, 상의, 아우터",y,
Layer 1,여성 캐주얼,2000archives,19,15.8,284.2,110.5,8,20,6,26,2,17,1,"가방, 바지, 상의, 스포츠/레저, 신발, 아우터, 원피스/스커트, 패션소품",n,
Layer 1,캐주얼/스트리트,yosemite,19,0,1905.3,0,3,111,16,235,0,0,0,"바지, 상의, 아우터",n,
Layer 1,여성 캐주얼,dunstforwomen,19,0,189.5,21.1,4,1,33,0,2,0,0,"상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,markm,19,0,268.4,105.3,3,0,51,0,0,3,0,"가방, 아우터, 패션소품",y,
Layer 1,여성 캐주얼,mindbridgewomen,19,0,563.2,0,3,1,70,0,36,0,0,"상의, 아우터, 원피스/스커트",y,
Layer 1,여성 캐주얼,ganni,19,0,278.9,173.7,4,3,38,0,12,0,0,"상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,기타,tillidie,19,0,505.3,0,1,0,96,0,0,0,0,아우터,y,여성복
Layer 1,캐주얼/스트리트,noah,18,0,111.1,433.3,4,0,20,0,0,28,3,"가방, 신발, 아우터, 패션소품",y,
Layer 1,여성 캐주얼,majournee,18,0,466.7,16.7,3,0,8,0,76,3,0,"가방, 아우터, 원피스/스커트",y,
Layer 1,캐주얼/스트리트,mahagrid,18,0,150,627.8,3,2,25,0,0,0,0,"상의, 아우터, 패션소품",y,
Layer 1,캐주얼/스트리트,gakka2,18,0,1277.8,0,3,5,18,207,0,0,0,"바지, 상의, 아우터",n,
Layer 1,여성 캐주얼,milieux,18,0,222.2,33.3,3,0,0,14,26,0,0,"바지, 원피스/스커트, 패션소품",n,
Layer 1,캐주얼/스트리트,workonbodyoff,18,0,1805.6,0,3,157,49,119,0,0,0,"바지, 상의, 아우터",y,
Layer 1,여성 캐주얼,anderssonbell,18,0,350,44.4,4,14,23,0,26,8,0,"가방, 상의, 아우터, 원피스/스커트",y,
Layer 1,여성 캐주얼,leterie,18,0,105.6,777.8,4,11,0,0,8,124,0,"가방, 상의, 원피스/스커트, 패션소품",y,
Layer 1,여성 캐주얼,mireco,18,0,600,366.7,5,53,4,3,48,0,0,"바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,여성 캐주얼,drawfitwomen,18,0,383.3,38.9,6,6,46,1,16,5,0,"가방, 바지, 상의, 아우터, 원피스/스커트, 패션소품",y,
Layer 1,캐주얼/스트리트,kichul,17,0,582.4,258.8,4,63,17,19,0,44,0,"가방, 바지, 상의, 아우터",y,
Layer 1,캐주얼/스트리트,tngt,17,0,505.9,0,3,1,84,1,0,0,0,"바지, 상의, 아우터",n,
Layer 1,여성 캐주얼,merryon,17,0,300,11.8,5,1,19,1,30,2,0,"가방, 바지, 상의, 아우터, 원피스/스커트",y,
Layer 1,캐주얼/스트리트,noise,17,29.4,170.6,676.5,4,2,27,0,0,115,0,"가방, 상의, 스포츠/레저, 아우터",n,
Layer 1,캐주얼/스트리트,noirer,17,0,311.8,5.9,3,2,51,0,0,1,0,"가방, 상의, 아우터",y,여성복
Layer 1,캐주얼/스트리트,decoroso,17,0,1229.4,0,3,90,108,11,0,0,0,"바지, 상의, 아우터",n,
Layer 1,여성 캐주얼,wedee,17,0,288.2,0,3,0,11,32,6,0,0,"바지, 아우터, 원피스/스커트",y,
Layer 1,캐주얼/스트리트,wildbricks,17,0,376.5,552.9,4,0,58,6,0,2,0,"가방, 바지, 아우터, 패션소품",n,
Layer 1,여성 캐주얼,celebshopedition,17,0,305.9,0,3,4,30,0,18,0,0,"상의, 아우터, 원피스/스커트",n,
Layer 1,여성 캐주얼,theatg,17,0,382.4,0,3,3,48,0,14,0,0,"상의, 아우터, 원피스/스커트",y,
